x,y,urban,alarm,firetype,heatsource,objignited,day,time,dayweek,label
8.521,20.67,0,1,1,NA,NA,219,17.5166666666667,5,other
9.21,12.353,1,1,1,NA,NA,224,20.65,3,other
7.687,11.291,1,1,5,NA,NA,241,2.98333333333333,6,suspicious
8.497,11.407,1,1,1,NA,NA,250,17.2333333333333,1,other
8.726,11.86,1,1,2,4,6,207,18.1333333333333,7,other
11.953,19.564,0,1,6,NA,NA,300,20.6166666666667,2,other
8.641,12.177,1,1,1,5,1,207,12.3,7,other
8.521,20.67,0,1,1,NA,9,219,3.28333333333333,5,other
6.526,8.426,1,1,1,5,6,242,7.85,7,other
0.821,8.777,0,1,3,1,7,288,19.9666666666667,4,other
15.178,2.756,0,1,2,4,6,318,21.3333333333333,6,other
5.329,13.085,0,1,5,NA,NA,243,8.85,1,other
4.74,18.911,0,1,2,7,9,245,15.3,3,other
7.758,11.578,1,1,5,NA,NA,255,1.11666666666667,6,suspicious
5.963,9.621,1,3,6,NA,NA,339,17.5833333333333,6,other
8.704,11.837,1,1,1,NA,NA,246,18.6166666666667,4,other
6.72,12.686,1,1,1,5,3,260,20.0833333333333,4,other
6.589,10.851,1,1,1,5,7,275,10.1333333333333,5,other
8.347,12.146,1,1,5,NA,NA,278,19.5833333333333,1,other
7.544,10.627,1,1,1,NA,9,380,2.2,5,other
7.53,13.169,1,1,1,3,1,292,19.95,1,other
7.983,11.774,1,1,5,NA,NA,384,22.55,2,suspicious
7.489,9.187,1,1,6,NA,NA,389,2.76666666666667,7,suspicious
6.742,10.629,1,1,5,NA,NA,390,13.7,1,other
6.721,12.653,1,3,5,NA,NA,403,21.8666666666667,7,other
6.944,10.353,1,1,1,9,7,337,14.4833333333333,4,other
11.893,9.66,0,1,3,9,7,346,13.9666666666667,6,other
6.331,11.816,1,1,1,NA,NA,267,19.3,4,other
7.807,12.058,1,1,2,7,6,392,2.03333333333333,3,suspicious
7.881,11.235,1,1,2,4,6,392,15.6166666666667,3,other
5.687,15.382,0,1,1,5,7,367,11.2833333333333,6,other
8.316,10.971,1,1,3,6,7,309,21.55,4,other
6.746,10.596,1,4,5,NA,NA,405,22.8666666666667,2,other
8.8,11.251,1,1,5,NA,NA,408,22.9,5,other
6.125,19.357,0,1,2,7,9,347,19.7333333333333,7,other
8.793,12.19,1,1,6,NA,NA,359,23.65,5,other
16.749,3.783,0,1,6,NA,NA,339,14.55,6,other
5.962,9.611,1,1,5,NA,NA,339,18.4666666666667,6,other
6.095,17.25,0,1,5,NA,NA,317,22.2166666666667,5,other
7.452,9.373,1,1,3,9,7,327,19.4,1,other
8.576,11.2,1,2,3,9,7,383,12.1833333333333,1,other
5.955,9.763,1,1,6,NA,NA,388,13.55,6,other
8.621,23.041,0,1,2,NA,6,390,16,1,other
8.004,21.372,0,1,1,3,7,391,20.4333333333333,2,other
5.138,11.279,0,1,1,7,3,396,19.3833333333333,7,other
6.212,13.013,1,1,5,NA,NA,362,16.55,1,other
11.185,8.996,0,1,5,NA,NA,366,13.2,5,other
4.487,13.114,0,1,6,NA,NA,419,18.6333333333333,2,other
8.082,11.12,1,1,3,7,7,422,22.5833333333333,5,suspicious
5.396,9.392,0,1,3,9,7,405,18.8833333333333,2,other
16.778,2.259,0,1,3,2,7,415,12.3833333333333,5,other
6.26,12.379,1,1,1,9,1,349,15.2,2,other
6.937,10.17,1,1,1,4,6,372,23.25,4,other
8.228,11.477,1,1,2,2,6,396,10.9833333333333,7,other
12.932,12.787,0,2,5,NA,NA,465,10.4833333333333,6,other
6.327,9.801,1,1,3,7,9,466,16.2,7,suspicious
7.828,12.664,1,1,5,NA,NA,482,23.7333333333333,2,other
7.599,12.486,1,1,5,NA,NA,371,13.6833333333333,3,other
12.666,10.956,0,1,1,5,8,382,15.1,7,other
6.7,13.156,1,1,2,4,6,407,15.7,4,other
15.668,1.03,0,1,3,7,7,401,12.1333333333333,5,other
6.638,9.454,1,4,5,NA,NA,403,21.9,7,other
6.146,8.668,0,1,3,2,8,423,15.9166666666667,6,other
6.567,8.481,1,1,1,NA,3,426,19.7333333333333,2,suspicious
5.991,12.452,1,1,1,5,7,505,18.75,4,other
7.926,10.305,1,1,6,NA,NA,500,0.0166666666666667,6,other
7.927,11.001,1,1,3,7,7,422,22.8333333333333,5,suspicious
